epoch,lr,train_total,train_seg,train_dice,train_ce,train_diff,train_conf,train_mri,train_w_conf,val_total,val_seg,val_dice,val_ce,val_diff,val_conf,val_mri,val_w_conf
1,9.999383162408304e-05,0.6455876919568754,0.6326060832715502,0.1513315779793366,0.2900606408130889,0.5980698529411764,0.4953013791392247,1.298160927611239,0.0,0.6006454391611947,0.5798651072714064,0.34754772233329595,0.23697839702169102,0.8038682725694445,0.04054892760597997,2.0780331674549313,0.0
2,9.997532801828658e-05,0.5689171935997758,0.554424208986993,0.2627736527208879,0.15274604995753252,0.5411037071078432,0.013858567200391097,1.449298556864846,0.0,0.5386834609839651,0.5174223621686299,0.39882307948399476,0.1672922850896915,2.471484375,0.006492984889296672,2.1261101133293576,0.0
3,9.994449374809851e-05,0.5243350454989602,0.5069679036444309,0.2779995960715417,0.09287482617678595,0.5722732843137255,0.14406458694378244,1.7367143355163874,0.0,0.47009261316723294,0.44396861518422764,0.49549680152892994,0.09010562296542857,0.8077365451388889,0.057813598510498804,2.6123998625410927,0.0
4,9.990133642141359e-05,0.4909213641694948,0.4705438235226799,0.30092022847813815,0.06316757269349753,0.5024586397058823,0.08671221189913066,2.037754046449474,0.0,0.4223535411887699,0.394796208706167,0.4947582792574043,0.06814760683725278,0.8529296875,0.14722005090572768,2.755733265479406,0.0
5,9.98458666866564e-05,0.4550979313604972,0.4319566965979688,0.325963437765742,0.04658634812735459,0.5160309436274509,0.22754422535791116,2.3141235338706596,0.0,0.3625118845866786,0.334678446335925,0.5483329602024732,0.05335003374558356,0.6260525173611111,0.19517879399160545,2.7833438641495176,0.0
6,9.9778098230154e-05,0.42397823444768495,0.40144245571949905,0.34414180862936306,0.04102247826316777,0.4796223958333333,0.18091021376826308,2.2535779489021674,0.0,0.3425298046734598,0.3205389608939489,0.48669391127759104,0.0684836109712099,0.5578016493055555,0.12258477437620362,2.1990844666957856,0.0
7,9.9698047772759e-05,0.3950194071613106,0.3753876291945869,0.3616126994762285,0.038202851275712546,0.4976830575980392,0.1690058864068751,1.963177778557235,0.0,0.3393966062201394,0.3226043471031719,0.483172304638558,0.09423505461567806,0.77158203125,0.10054725473746658,1.6792259358697468,0.0
8,9.96057350657239e-05,0.3771959838621757,0.36037643757813115,0.36134993267281756,0.035918915704550115,0.4913296568627451,0.14525483715914045,1.681954692625532,0.0,0.27638397105038165,0.26085609942674637,0.5722584480316275,0.060084795121413966,0.8414496527777777,0.1723895496585303,1.5527872428297997,0.0
9,9.950118288582787e-05,0.37013084187227135,0.3558314577329392,0.3681739739118969,0.035913756592016594,0.5045879289215687,0.16660691556685112,1.4299385020545885,0.0,0.2610972373849816,0.24791850466281176,0.586774448909046,0.0574189678636483,0.7543511284722222,0.1200049332343042,1.3178733832306333,0.0
10,9.938441702975689e-05,0.363742843913097,0.3512931997212125,0.36945241779812016,0.03904251821165649,0.4902535232843137,0.16713067743854196,1.2449644276032261,0.0,0.22027097385790612,0.20801220459656583,0.6642779658901411,0.05178912430419587,0.7122233072916667,0.08387940447104889,1.2258769033683672,0.0
11,9.925546630773869e-05,0.34764871386920704,0.33655414297884584,0.39524306192308156,0.03789354854665112,0.48152573529411763,0.15971950606680385,1.109457122052417,0.0,0.22051873937663105,0.21027093281348547,0.6497260129898582,0.04912393797809879,0.6674099392361111,0.1445903708330459,1.0247806835505697,0.0
12,9.911436253643444e-05,0.34840504848489573,0.33858009864594424,0.3913337736717606,0.03661070527650379,0.4829312193627451,0.1740173741736833,0.982495017320502,0.0,0.23674062478045624,0.22736309005154504,0.621129478352334,0.05346836768633997,0.6733344184027777,0.12067473110639387,0.9377535455756717,0.0
13,9.896114053108829e-05,0.3466501092939985,0.3374890281216187,0.3859098328629518,0.03875855485607377,0.48834635416666666,0.16275474927296826,0.9161081868059495,0.0,0.22068963690350454,0.21359255756768916,0.6453365587039585,0.055937182643942325,0.6184190538194444,0.13769196023543676,0.7097079402870602,0.0
14,9.879583809693738e-05,0.3370486135284106,0.3290479309929937,0.4007565224714148,0.036845685822852685,0.47367876838235295,0.13313434901190738,0.8000682782308728,0.0,0.20433820937242772,0.1963809200252096,0.6783999242161164,0.053340309554348805,0.5748209635416667,0.10031562230239312,0.7957290058334668,0.0
15,9.861849601988384e-05,0.33082923508596185,0.3227700388387722,0.41230569909640924,0.034277884713282775,0.47406939338235293,0.1330475324143966,0.8059195903294226,0.0,0.20875352900475264,0.2008494652600752,0.6659898106691382,0.05031558230273529,0.6563856336805556,0.14301323344310124,0.7904062997963693,0.0
16,9.842915805643157e-05,0.3249521692155623,0.31738088537080617,0.431294553066134,0.03870944681682387,0.47537530637254904,0.13349950640078853,0.7571284410708091,0.0,0.2040404468981756,0.19703112775459886,0.6712694279579288,0.05280564977308839,0.633837890625,0.1258465777306507,0.7009318189488517,0.0
17,9.822787092288992e-05,0.3258519282235819,0.3187374323095177,0.42803046287614666,0.03897924871416762,0.46531479779411766,0.1335636763084753,0.7114496252992574,0.0,0.20667597692873743,0.19979336849517293,0.667957703034497,0.05471444502214177,0.5891493055555556,0.13032900349030063,0.6882608996911181,0.0
18,9.801468428384718e-05,0.3347677021634345,0.32763810213290007,0.4141948008917802,0.03989709176559129,0.4588962928921569,0.12385781904061635,0.7129599471594773,0.0,0.20915142361902528,0.2028499870147142,0.6645636986552815,0.056188825969972336,0.7363335503472223,0.1486326546822157,0.6301436020682255,0.0
19,9.778965073991652e-05,0.32180707978413386,0.31479526565355415,0.42963723541097804,0.03691722655842336,0.46447227328431373,0.12877011976990047,0.7011813550895336,0.0,0.19404608888758554,0.18655487599058285,0.6929939681977189,0.05581006827026916,0.5694444444444444,0.08621377341656221,0.7491212789383199,0.0
