epoch,lr,train_total,train_seg,train_dice,train_ce,train_diff,train_conf,train_mri,train_w_conf,val_total,val_seg,val_dice,val_ce,val_diff,val_conf,val_mri,val_w_conf
1,9.999383162408304e-05,0.6235589678381004,0.6159995094233868,0.21334810304347462,0.26422622569051446,0.0755953919653799,0.37242362852043964,0.0,0.0,0.6060857648650805,0.6029498297307226,0.3235940490372075,0.3026509486966663,0.03135918511284722,0.09717298182658851,0.0,0.0
2,9.997532801828658e-05,0.5477750967530643,0.5456836852372862,0.2714945492640154,0.14545182771250315,0.02091830384497549,0.09099665054293606,0.0,0.0,0.504898856083552,0.5025370496842596,0.47302498616883987,0.10885657639139229,0.023615180121527777,0.012631165547969028,0.0,0.0
3,9.994449374809851e-05,0.5018315828314015,0.5003755839431987,0.28665964721652476,0.08846420081807117,0.014560893937653186,0.0029828710042541693,0.0,0.0,0.45106557624207605,0.449284324546655,0.4215155471878513,0.10575090106576682,0.017810397677951388,0.004623078783495455,0.0,0.0
4,9.990133642141359e-05,0.4634541583996193,0.46189147888445387,0.30167786367590765,0.05764474793172934,0.01562808167700674,0.15448975562072056,0.0,0.0,0.40851887241005896,0.40709378628267184,0.43535707944923724,0.08630900995598899,0.01425136990017361,0.22097793743014335,0.0,0.0
5,9.98458666866564e-05,0.4282291085696688,0.4266972047441146,0.3243095411725862,0.042575698787821276,0.015319465188419118,0.3346817570574143,0.0,0.0,0.33155596148636607,0.330671354300446,0.5625817593456662,0.04953376624422769,0.008845011393229166,0.5434086147281859,0.0,0.0
6,9.9778098230154e-05,0.40058901391777335,0.39885083971654667,0.34125880659684615,0.038617526331697315,0.01738143621706495,0.43812832814805647,0.0,0.0,0.29827303667035365,0.2955899057702886,0.5487883749764707,0.054728857363160285,0.02682952880859375,0.362897732688321,0.0,0.0
7,9.9698047772759e-05,0.3824746886012601,0.3804315741447841,0.3467513610763436,0.03712721313897739,0.020429364372702204,0.3883132907105427,0.0,0.0,0.2691040880150265,0.2673715584807926,0.5736619884600274,0.05074178857418398,0.017319573296440974,0.49768312755558225,0.0,0.0
8,9.96057350657239e-05,0.37136540322327144,0.3692772379692863,0.3558485009023285,0.03742346114972058,0.020882640165441176,0.3972803281802757,0.0,0.0,0.24468789601491558,0.24270683895382617,0.6127694158015881,0.05006371807798536,0.019810316297743054,0.4135648866494497,0.0,0.0
9,9.950118288582787e-05,0.3664189509170897,0.3645568926106481,0.3516052626906965,0.03774679148998842,0.018619073606004902,0.425458660604907,0.0,0.0,0.24574213094181485,0.24410643101566368,0.6012389641087059,0.0497318088193424,0.016358439127604166,0.45866337054305606,0.0,0.0
10,9.938441702975689e-05,0.34770180264524386,0.3459541103126956,0.3888996741273055,0.03533318518734008,0.0174774169921875,0.4700294004351485,0.0,0.0,0.22676600091573265,0.22499093752768304,0.6360453593349208,0.05514810498829724,0.017753431532118055,0.5157416236069468,0.0,0.0
11,9.925546630773869e-05,0.3482105743797386,0.34619274893227747,0.3747062093144663,0.03595442039750553,0.020179120232077206,0.5114524493030473,0.0,0.0,0.2466338949277997,0.24458071889562738,0.5971009052891192,0.058974962332932694,0.020531548394097224,0.3885415034161674,0.0,0.0
12,9.911436253643444e-05,0.3464530636720798,0.3447063062997425,0.3754161442142161,0.04047002871201246,0.017470415900735295,0.45556992584583805,0.0,0.0,0.22994698975235223,0.22777167966382372,0.6218110732351095,0.05962818674225774,0.021754964192708334,0.5840654833449258,0.0,0.0
