epoch,lr,train_total,train_seg,train_dice,train_ce,train_diff,train_conf,train_mri,train_w_conf,val_total,val_seg,val_dice,val_ce,val_diff,val_conf,val_mri,val_w_conf
1,9.999383162408304e-05,0.7046525283187044,0.6849700210141201,0.12956417228259717,0.3880002343771504,0.08609260110294117,0.026031369808148228,1.107316988575108,0.0,0.6519940465688705,0.6332996716101964,0.18097816712881637,0.3009541610876719,0.048121473524305555,0.05830987217939562,1.3881751115951273,0.0
2,9.997532801828658e-05,0.6287508177991007,0.6145197527081359,0.18419075475756794,0.25073332482693245,0.02651044060202206,0.05972000427781513,1.157995359804116,0.0,0.5985897123813629,0.5790372176302804,0.35166729442117894,0.21263875100347732,0.03861253526475694,0.07422602035933071,1.5689691209130816,0.0
3,9.994449374809851e-05,0.5839271158564324,0.5680570547487221,0.236702189916644,0.17208252782915154,0.02402499329810049,0.10252628840286943,1.3467639455023934,0.0,0.5567297312948439,0.5368393475810687,0.37844583207075266,0.1437577113509178,0.035655381944444446,0.04538961751645224,1.632482943104373,0.0
4,9.990133642141359e-05,0.5509840531092064,0.5329491233124453,0.25038534368804943,0.11900969502680442,0.025517063514859068,0.09191248492958645,1.548326404538809,0.0,0.525214580198129,0.4999702660573853,0.38146086127876233,0.10316823749906487,0.043115234375,0.02634638814876477,2.0933621915678184,0.0
5,9.98458666866564e-05,0.5222903346898509,0.5008051127195359,0.2794571490865773,0.08668526232826944,0.024034567440257355,0.09686031128718134,1.9081664371139864,0.0,0.4778559438056416,0.44857288549343743,0.4364280500233523,0.08775166906416416,0.027598741319444446,0.021679152390505704,2.6523507894741165,0.0
6,9.9778098230154e-05,0.49277321585253175,0.46881497280270445,0.30213010852966354,0.06229369736404396,0.023871088962928923,0.08122412293656346,2.1570968549625547,0.0,0.4450163506799274,0.41339203599426483,0.4873118033156236,0.0631970398645434,0.024139234754774305,0.04503746746599467,2.921079984307289,0.0
7,9.9698047772759e-05,0.46438550049183414,0.4378000767207613,0.3221367804368088,0.048829262862529824,0.024792241115196078,0.05621193933218498,2.410644741034975,0.0,0.38993141709102525,0.35955139531029595,0.49460099820529785,0.06674476992856297,0.03167521158854167,0.012122797078659965,2.721246728301048,0.0
8,9.96057350657239e-05,0.4356409626556378,0.4100989351962127,0.3398953952930368,0.04385559102885571,0.023804189644607843,0.05917154991241427,2.3161447588719573,0.0,0.3580507891045676,0.3270286678440041,0.5087096100613717,0.05614890431623078,0.040964762369791664,0.01478890912193391,2.692526426414649,0.0
9,9.950118288582787e-05,0.4198281570100317,0.3946949590070575,0.3382266165477806,0.040029120613254754,0.029671702665441176,0.05068306461576939,2.216590236273466,0.0,0.3495867668754525,0.3173934634361002,0.5188757605696387,0.06143811801965866,0.038954671223958334,0.09652079476767944,2.829777820573913,0.0
10,9.938441702975689e-05,0.39738033340842116,0.37436803867127383,0.3570515534785569,0.037416339010073275,0.030435838886335786,0.04488088789249898,1.996861527655639,0.0,0.28407769865459864,0.26078979414370324,0.5865078872939411,0.05281016784202722,0.02785491943359375,0.021753645427007643,2.0502477208773295,0.0
11,9.925546630773869e-05,0.38204328384177355,0.36213174618634525,0.36192753516564424,0.0384738582620105,0.030198400160845587,0.053714236357778895,1.6891778803923552,0.0,0.2601984341525369,0.24110442304776775,0.61278258830369,0.04683183713609146,0.03206515842013889,0.027599045261740684,1.5887334590156874,0.0
12,9.911436253643444e-05,0.3717330368710499,0.3540291231782997,0.37892224731162033,0.03772440793554244,0.028247429342830883,0.027044899494149812,1.4879168022497027,0.0,0.27859053599337735,0.2628563195466995,0.5617846434522006,0.0601162120518792,0.03704698350694444,0.019012633191111187,1.2028767537739542,0.0
