stratum,n,dice_mean,dice_sd,dice_ci,iou_mean,iou_sd,iou_ci,hd95_mm_mean,hd95_mm_sd,hd95_mm_ci,msd_mm_mean,msd_mm_sd,msd_mm_ci,vol_err_pct_mean,vol_err_pct_sd,vol_err_pct_ci
Small,101,0.4522887706797464,0.40704485425632947,"[0.374, 0.534]",0.3848711123102325,0.35773989351661567,"[0.317, 0.456]",69.86581433818077,110.56392331127705,"[50.005, 92.296]",57.67972962288245,94.7973452462446,"[40.401, 76.975]",54.67347088486548,176.7898844717413,"[24.118, 92.091]"
Medium,104,0.5938973415062362,0.34013098769245764,"[0.528, 0.657]",0.4960224578026398,0.3111213960626916,"[0.436, 0.554]",47.905041613814284,92.66209353042068,"[32.044, 67.622]",31.297239723900336,71.93642339695563,"[18.523, 46.428]",-4.819874194325957,68.6393822142976,"[-17.411, 8.314]"
Large,101,0.4826663657037964,0.3210920470508209,"[0.420, 0.545]",0.3783657909768383,0.2914133209070337,"[0.323, 0.437]",51.464165941132414,83.9201681855163,"[37.053, 69.201]",27.476550036353295,61.129500863334876,"[16.820, 40.404]",-50.73452964315706,37.147677000252315,"[-57.819, -43.467]"
