largest,oracle,peak_prob,mean_prob,prob_mass,n_components,largest_peak,largest_vol_frac,disagree,oracle_rank,cond_disagree,cond_lowconf_0.999,cond_lowconf_0.9995,cond_lowconf_0.9999,cond_nodom_0.3,cond_nodom_0.5,cond_nodom_0.7,case,threshold
0.8803480783176215,0.8803480783176215,0.8803480783176215,0.8803480783176215,0.8803480783176215,16,1.0,0.2938856015779093,False,1,0.8803480783176215,0.8803480783176215,0.8803480783176215,0.8803480783176215,0.8803480783176215,0.8803480783176215,0.8803480783176215,DUKE_005,0.5
0.8822874118083921,0.8822874118083921,0.8822874118083921,0.8822874118083921,0.8822874118083921,13,1.0,0.37760380260030757,False,1,0.8822874118083921,0.8822874118083921,0.8822874118083921,0.8822874118083921,0.8822874118083921,0.8822874118083921,0.8822874118083921,DUKE_005,0.8
0.8808250572956455,0.8808250572956455,0.8808250572956455,0.8808250572956455,0.8808250572956455,5,1.0,0.6073809523809524,False,1,0.8808250572956455,0.8808250572956455,0.8808250572956455,0.8808250572956455,0.8808250572956455,0.8808250572956455,0.8808250572956455,DUKE_005,0.95
0.8787996882307093,0.8787996882307093,0.8787996882307093,0.8787996882307093,0.8787996882307093,4,1.0,0.8252951096121417,False,1,0.8787996882307093,0.8787996882307093,0.8787996882307093,0.8787996882307093,0.8787996882307093,0.8787996882307093,0.8787996882307093,DUKE_005,0.98
0.8767015190372854,0.8767015190372854,0.8767015190372854,0.8767015190372854,0.8767015190372854,3,1.0,0.8972525404591645,False,1,0.8767015190372854,0.8767015190372854,0.8767015190372854,0.8767015190372854,0.8767015190372854,0.8767015190372854,0.8767015190372854,DUKE_005,0.99
0.9523225885525187,0.9523225885525187,0.0,0.9523225885525187,0.9523225885525187,9,1.0,0.427624872579001,True,1,0.0,0.9523225885525187,0.9523225885525187,0.9523225885525187,0.9523225885525187,0.0,0.0,DUKE_082,0.5
0.9562855025932329,0.9562855025932329,0.0,0.9562855025932329,0.9562855025932329,8,1.0,0.45639213954515345,True,1,0.0,0.9562855025932329,0.9562855025932329,0.9562855025932329,0.9562855025932329,0.0,0.0,DUKE_082,0.8
0.9590235396687009,0.9590235396687009,0.0,0.9590235396687009,0.9590235396687009,10,1.0,0.5401993355481728,True,1,0.0,0.9590235396687009,0.9590235396687009,0.9590235396687009,0.9590235396687009,0.9590235396687009,0.0,DUKE_082,0.95
0.958155850663994,0.958155850663994,0.0,0.958155850663994,0.958155850663994,7,1.0,0.646604441583521,True,1,0.0,0.958155850663994,0.958155850663994,0.958155850663994,0.958155850663994,0.958155850663994,0.0,DUKE_082,0.98
0.9588730977235568,0.9588730977235568,0.0,0.9588730977235568,0.9588730977235568,6,1.0,0.7604424947549113,True,1,0.0,0.9588730977235568,0.9588730977235568,0.9588730977235568,0.9588730977235568,0.9588730977235568,0.9588730977235568,DUKE_082,0.99
0.8643058602319023,0.8643058602319023,0.8643058602319023,0.0,0.8643058602319023,11,1.0,0.9313309238920664,False,1,0.8643058602319023,0.8643058602319023,0.8643058602319023,0.8643058602319023,0.8643058602319023,0.8643058602319023,0.8643058602319023,DUKE_090,0.5
0.8416593051974977,0.8416593051974977,0.8416593051974977,0.0,0.8416593051974977,12,1.0,0.9481787312856922,False,1,0.8416593051974977,0.8416593051974977,0.8416593051974977,0.8416593051974977,0.8416593051974977,0.8416593051974977,0.8416593051974977,DUKE_090,0.8
0.712513495345379,0.712513495345379,0.712513495345379,0.0,0.712513495345379,6,1.0,0.9561721582847234,False,1,0.712513495345379,0.712513495345379,0.712513495345379,0.712513495345379,0.712513495345379,0.712513495345379,0.712513495345379,DUKE_090,0.95
0.46572986783275194,0.46572986783275194,0.46572986783275194,0.46572986783275194,0.46572986783275194,11,1.0,0.8133653925876793,False,1,0.46572986783275194,0.46572986783275194,0.46572986783275194,0.46572986783275194,0.46572986783275194,0.46572986783275194,0.46572986783275194,DUKE_090,0.98
